,Well_ID,"X, m","Y, m","Depth, m","Porosity, fraction","Permeability, mD","Acoustic Impedance, kg*s/m^2",Rock facies,"Density, g/cm3","Compressible velocity, m/s","Youngs modulus, GPa","Shear velocity, m/s","Shear modulus, GPa",Vclay
0,Well_no_74,7925,5525,3050.51,,,7842692.077,Sandy shale,,3387.576377403281,,1646.6035491367838,6.229941377081685,0.6667
1,Well_no_74,7925,5525,3051.01,0.09096,,7807355.262,Shaly sandstone,1.8729823334231912,,,1465.0517283463491,4.930174168485187,0.3333
2,Well_no_74,7925,5525,3051.51,0.05878,28.576877608768953,7864859.402000003,Sandy shale,3.1871228494285284,2660.30666418218,18.87542829883097,1570.481115881934,7.20270319913645,0.6667
3,Well_no_74,7925,5525,3052.01,,,7309508.797,Shaly sandstone,2.058578417397551,3285.6159502664445,26.992396273160743,1652.0967391634022,6.4861305043272734,0.3333
4,Well_no_74,7925,5525,3052.51,0.12285,49.25635171321117,7328552.658,Shaly sandstone,1.6783392368472312,4432.429018999212,35.261377544308026,1697.320551719903,3.8020012342715774,0.3333
5,Well_no_74,7925,5525,3053.01,0.12562,,7660011.166,Shaly sandstone,,,31.391283418282896,,,0.3333
6,Well_no_74,7925,5525,3053.51,0.12519,63.11705737278301,7169346.003,Shaly sandstone,1.977815925048095,3840.180886684059,25.716447460435205,1666.313834043649,5.491607244751332,0.3333
7,Well_no_74,7925,5525,3054.01,0.12729,,,Sandstone,,3983.286988119067,,1830.249242233314,5.898287439787217,0.0
8,Well_no_74,7925,5525,3054.51,0.1343599999999999,59.74805145783218,7027584.283,Sandstone,1.7271514859650643,3667.8219927366913,32.492075489713194,1691.4609410553662,5.074221912080287,0.0
9,Well_no_74,7925,5525,3055.01,0.06006,18.637087817108704,7885493.755,Sandy shale,2.340380673615697,3148.9675569439823,23.20720697707205,1454.617888341893,8.359293176974829,0.6667
10,Well_no_74,7925,5525,3055.51,0.0668,27.90943515432551,7684570.181797416,Sandy shale,3.1616542574311843,2499.1438536696924,19.746807232943908,1647.724272275257,8.767678481363987,0.6667
11,Well_no_74,7925,5525,3056.01,0.13114,70.75957906316157,7349443.552,Shaly sandstone,2.3079876506619,2967.511131447828,22.81570657323952,1574.4075503330316,5.720945471496758,0.3333
12,Well_no_74,7925,5525,3056.51,0.13479,,7501889.162,Shaly sandstone,1.698570681218451,3904.472439318332,25.89454872089251,1619.8994763308694,,0.3333
13,Well_no_74,7925,5525,3057.01,0.13918,80.53205198288906,7231373.158,Shaly sandstone,1.6560331648378743,4354.403747303536,31.399766615862525,1708.941720852551,4.844841457339326,0.3333
14,Well_no_74,7925,5525,3057.51,0.1434099999999999,85.25478710277227,7560771.317000003,Shaly sandstone,1.7421684111039586,4295.840828745838,32.1504086583023,1729.3866469104507,7.338469152703513,0.3333
15,Well_no_74,7925,5525,3058.01,0.14254,114.14421299131881,6964145.313999997,Sandstone,1.954439508004542,3373.862798104008,22.247287550280227,1778.9749325682258,5.928775888741906,0.0
16,Well_no_74,7925,5525,3058.51,0.14572,134.4326971989425,7234655.519147067,Sandstone,2.2469432359783417,2996.6791912435688,25.802453314987112,1507.461838366201,5.317092880863457,0.0
17,Well_no_74,7925,5525,3059.01,0.1498,136.7411447205528,7295773.376,Sandstone,2.221399599100517,3143.999934480897,22.607028121558702,1658.7251531312534,6.4282597978531495,0.0
18,Well_no_74,7925,5525,3059.51,0.15331,112.64999754091436,6829930.69,Sandstone,2.389682377330286,2515.431106732557,19.903488009477773,1588.000674080237,7.138975086714003,0.0
19,Well_no_74,7925,5525,3060.01,0.16176,,6945503.409,Sandstone,1.525833871921182,,,1632.129624002598,4.475699433511402,0.0
20,Well_no_75,8125,4425,3049.84,0.1732,270.6694750411004,7143846.7689999975,Sandstone,1.9179620367073704,3780.867639235655,26.03711586251077,1742.9228274702743,4.312480637114675,0.0
21,Well_no_75,8125,4425,3050.34,0.05442,53.741412727643095,8006531.557999997,Shale,1.7129378339483323,4716.341410710908,38.10237729202468,1622.9851130178142,4.457806207946795,1.0
22,Well_no_75,8125,4425,3050.84,0.05591,49.15220236542538,7652015.486,Shale,1.5306991347966168,4650.426408248376,36.76285707117338,1714.7854716784714,2.8388575896454604,1.0
23,Well_no_75,8125,4425,3051.34,0.11725,60.16871732298822,7249875.712999999,Shaly sandstone,1.6700789526236224,4447.920441317682,30.409402995404346,1593.6369076670865,4.344691696511656,0.3333
24,Well_no_75,8125,4425,3051.84,0.12627,57.33811365894829,7288086.834,Shaly sandstone,2.2499908320417084,3468.106041951744,27.062348646002327,1754.561437634761,5.723614938012595,0.3333
25,Well_no_75,8125,4425,3052.34,0.13455,68.2321032807196,7401836.277000003,Shaly sandstone,2.3636501160225345,2682.934049617405,23.28075777924944,1774.6415283695542,7.605792387609076,0.3333
26,Well_no_75,8125,4425,3052.84,0.12952,65.9604303517129,7188430.722999997,Shaly sandstone,1.8777296261554528,3838.504416949426,29.024396096702,1474.3740888464013,3.95073094650791,0.3333
27,Well_no_75,8125,4425,3053.34,,,7433298.821,Shaly sandstone,2.24011688770668,3254.1210567052112,23.721278387233184,1633.6518953968305,6.546336987455628,0.3333
28,Well_no_75,8125,4425,3053.84,0.13244,110.67827021808677,7179962.457,Sandstone,1.7810684103285837,3809.954912705637,25.853555241697013,1645.0850080162866,6.1077978723901865,0.0
29,Well_no_75,8125,4425,3054.34,0.13998,91.44544324911205,7302944.876,Sandstone,2.3129724232530084,3337.2914209212145,23.028567420817733,1529.5492882289825,5.334916626843592,0.0
30,Well_no_75,8125,4425,3054.84,0.0517,24.73411559793097,8108089.994,Shale,1.9092059767480607,4190.613780088756,38.50608326226696,1557.374522617812,4.630617584839052,1.0
31,Well_no_75,8125,4425,3055.34,,,8094498.395,Shale,1.6094306364850697,4818.860155310109,37.373253820821766,1472.7706877576716,5.447019503459746,1.0
32,Well_no_75,8125,4425,3055.84,0.1281,45.63508745406206,7287168.062999999,Shaly sandstone,1.8824857059881053,3838.851989399603,27.741786355169488,1509.0090080168818,6.289180003541357,0.3333
33,Well_no_75,8125,4425,3056.34,0.13193,82.45581539440134,7224341.9,Shaly sandstone,1.8976279546355943,4201.898979979504,33.50443384580837,1560.9173666754612,5.0096960498606,0.3333
34,Well_no_75,8125,4425,3056.84,0.13342,89.38490664177297,7052193.824,Shaly sandstone,2.2423459641208305,3564.5182692677868,28.49077803057504,1739.5829096656023,6.116722719473349,0.3333
35,Well_no_75,8125,4425,3057.34,0.1388599999999999,64.53055248854771,7199966.706,Shaly sandstone,1.5369816006116372,5297.151719933381,33.157271353541425,1654.347749727997,4.206513418526037,0.3333
36,Well_no_75,8125,4425,3057.84,,96.99231671924277,7405445.638999999,Sandstone,2.411872209659589,3426.745921728055,23.7243645255901,1859.2857300335759,8.33770577930927,0.0
37,Well_no_75,8125,4425,3058.34,0.14445,131.04896822986962,7226253.047,Sandstone,2.1958087706566976,3221.116202535149,21.107557959948597,1721.379895528296,7.057962058037638,0.0
38,Well_no_75,8125,4425,3058.84,0.14864,148.14967781329744,7101742.857999999,Sandstone,1.6351809974102784,4512.754995213875,28.59470292192953,1706.887596459811,3.2860843067771004,0.0
39,Well_no_75,8125,4425,3059.34,0.15079,132.03379246399908,7322740.805,Sandstone,2.221117459807348,3103.203587209866,22.292583076769425,1829.0592411558905,6.992454973874184,0.0
