,Well_ID,"X, m","Y, m","Depth, m","Porosity, fraction","Permeability, mD","Acoustic Impedance, kg*s/m^2",Rock facies,"Density, g/cm3","Compressible velocity, m/s","Youngs modulus, GPa","Shear velocity, m/s","Shear modulus, GPa",Vclay
0,Well_no_1,7325,7175,3052.8,0.1333,87.06285685873091,6981171.852999999,Sandstone,2.2801371417471823,3106.544655346839,24.721555028005053,1690.4171328028092,7.304717426422341,0.0
1,Well_no_1,7325,7175,3053.3,0.13865,96.9329474083453,7234748.871,Sandstone,2.135060843226809,4003.697087209216,23.36072766042921,1573.8479665426569,5.2021201755426905,0.0
2,Well_no_1,7325,7175,3053.8,0.1463799999999999,124.11714715445407,7157383.755,Sandstone,1.9910446892179976,3462.5690300710853,28.23215157976105,1636.2791393023394,5.330841809969881,0.0
3,Well_no_1,7325,7175,3054.3,,,7182959.860630142,Sandstone,1.6942419854801931,3836.960701975888,29.22013209322517,1613.0430479499842,5.074763113147543,0.0
4,Well_no_1,7325,7175,3054.8,0.14993,130.42374605084808,7160058.824493328,Sandstone,1.6643712561622217,3919.585776629367,25.569989691927425,1636.846283897834,5.2778341721026845,0.0
5,Well_no_1,7325,7175,3055.3,0.1525,142.81798110849945,6975785.194,Sandstone,2.165118812976714,2850.9939450568404,22.57682137590121,1613.9443531956076,5.639736938321287,0.0
6,Well_no_1,7325,7175,3055.8,0.1550099999999999,171.03849397153402,7202545.188999997,Sandstone,1.499129282399088,4523.602700085959,34.80123879633729,1786.9347831165203,4.786923559020653,0.0
7,Well_no_1,7325,7175,3056.3,0.15843,150.33886066591813,7071741.046,Sandstone,2.2792208361022044,2880.5224506183254,22.608216723283164,1641.131286212537,7.470394438278165,0.0
8,Well_no_1,7325,7175,3056.8,0.16004,170.9046931725309,6970094.357999999,Sandstone,2.1887528358945167,3015.5993140040405,23.17184133934027,1830.396873415172,5.303365904472496,0.0
9,Well_no_1,7325,7175,3057.3,0.07066,35.47520748175543,7836617.444,Sandy shale,3.250633783805993,2192.474932570087,15.62562213707187,1649.5462731972766,8.764372445467894,0.6667
10,Well_no_1,7325,7175,3057.8,0.07276,38.12985339763077,7445642.705,Sandy shale,3.184170204201418,2350.3216127603355,18.83760606980724,1610.4674633905868,7.989805447637918,0.6667
11,Well_no_1,7325,7175,3058.3,0.1369999999999999,86.22257972103552,7336188.98,Shaly sandstone,1.8117307980545887,3767.966719314776,30.52017900388972,1622.4684441544186,6.334974437822383,0.3333
12,Well_no_1,7325,7175,3058.8,0.13024,,7317351.86,Shaly sandstone,,3835.851164534192,,,6.642383743743073,0.3333
13,Well_no_1,7325,7175,3059.3,0.1396,113.24990026295646,7057105.7689999975,Sandstone,2.1179517145162507,2812.48166703402,16.753110583096674,1853.8565342021768,6.694957736777607,0.0
14,Well_no_1,7325,7175,3059.8,,,7167792.5529999975,Sandstone,2.142143510863746,3099.416514052051,28.23910897313333,1581.9857141472687,4.715880162507833,0.0
15,Well_no_1,7325,7175,3060.3,0.14681,189.11697396467773,7112052.852000001,Sandstone,,,21.19648513274157,,6.32114574127127,0.0
16,Well_no_1,7325,7175,3060.8,0.14719,140.11275231811103,7135671.482575195,Sandstone,2.3922199798488064,2832.507852052009,20.49510295126695,1514.6911626000865,6.783677635840738,0.0
17,Well_no_1,7325,7175,3061.3,0.1469,128.33430472838026,7341491.837999999,Sandstone,1.5900405014924628,4905.749053984589,38.266509035322684,1582.032837060878,5.49994697288192,0.0
18,Well_no_1,7325,7175,3061.8,0.15361,131.30333112152226,6981515.306,Sandstone,1.6072751076433434,4214.779801380164,33.345386865945905,1795.696558475932,5.056061533722155,0.0
