Well_ID,ln_permeability,"Porosity, fraction","Acoustic Impedance, kg*s/m^2","Density, g/cm3","Compressible velocity, m/s","Youngs modulus, GPa","Shear velocity, m/s","Shear modulus, GPa",varAcousticImpedance,varPorosity,percentile 84,percentile 50,dykstra_parsons,percentile 16,region,prod_cum_3yr
Well_no_1,4.600006082,0.133425556,7222439.795,2.141876081,3392.897466,25.33361056,1656.844649,6.192136087,57198978921,0.000957554,63.67139909,130.3529101,0.511546009,63.67139909,1,847.33
Well_no_2,4.52969499,0.128884737,7316207.662,2.14494097,3568.821621,25.43161366,1682.060522,6.466949812,93882168738,0.001514711,40.57541158,87.76448686,0.537678473,40.57541158,0,1201.2
Well_no_3,4.416045816,0.118062222,7360177.926,1.949772914,3888.251808,28.21716241,1679.37747,5.722331041,76424751755,0.001662376,51.32979312,83.50185242,0.385285576,51.32979312,0,781.4
Well_no_4,4.599237888,0.138111176,7333472.291,2.00302468,3675.865373,26.9277515,1655.220426,5.205561301,68131439658,0.000915959,59.26959403,118.0871089,0.498085823,59.26959403,1,1573.2
Well_no_5,4.451334143,0.13091,7333854.331,1.940055173,3767.121055,28.01737122,1702.071742,5.290386708,64304746706,0.000800729,52.10354528,79.48915844,0.344520104,52.10354528,0,548.68
Well_no_6,4.367448897,0.120435789,7388571.617,1.980068688,3838.029776,27.98753956,1702.976274,5.429431351,1.02E+11,0.00128591,46.3344807,81.46798644,0.431255359,46.3344807,0,668.02
Well_no_7,4.556155371,0.134272105,7293913.314,2.20191924,3435.812734,24.99402049,1652.838567,6.224777618,80170629186,0.000927153,64.48793984,89.02116007,0.275588638,64.48793984,1,823.89
Well_no_8,4.411713976,0.127911333,7344169.448,2.213951453,3583.792454,24.89667205,1666.983159,6.14257196,42741719986,0.00090783,58.57503849,82.43071474,0.289402759,58.57503849,1,683.92
Well_no_9,4.508133252,0.134574444,7295935.895,2.099659477,3548.407553,25.35228403,1701.523577,6.317451182,1.01E+11,0.001024583,64.2990241,114.9443262,0.440607238,64.2990241,1,1314.4
Well_no_10,4.201185732,0.112653684,7475915.214,1.82708438,4038.679249,30.21881274,1682.659828,5.592100706,72857565591,0.001099515,44.82952177,62.81315975,0.286303667,44.82952177,0,518.27
Well_no_11,4.400814108,0.128556111,7283737.701,2.086963855,3527.987993,26.44618549,1681.960101,6.187105717,80000980594,0.000754813,56.12445634,91.47033288,0.386419022,56.12445634,1,978.14
Well_no_12,4.555003183,0.126319444,7324012.308,1.918121739,3841.739107,29.03231335,1627.50701,5.216026025,85722447062,0.001398313,49.86226124,118.0545842,0.577633841,49.86226124,0,840.47
Well_no_13,4.527010065,0.13738875,7298725.43,2.077761633,3742.85903,26.85274723,1667.159259,5.869176777,66550191990,0.00064568,53.77637229,108.4340586,0.504063825,53.77637229,1,732.29
Well_no_14,4.4860374,0.126360625,7281682.722,1.936644526,3926.297309,29.11497235,1699.011252,5.240491494,1.08E+11,0.001379664,48.31962736,92.49046012,0.47757177,48.31962736,0,897.16
Well_no_15,4.037873072,0.1072625,7447121.958,1.760142414,4378.611915,31.61602564,1645.079436,5.17430051,1.05E+11,0.001041364,46.15029637,53.04546444,0.129986006,46.15029637,0,375.02
Well_no_16,4.387835748,0.12373625,7349080.463,2.263999115,3422.857501,25.77564244,1670.309573,6.262827775,55723911425,0.000890631,55.56382063,77.58259149,0.283810716,55.56382063,1,608.09
Well_no_17,4.588901008,0.135481111,7318277.235,2.210916396,3479.125124,24.95535678,1647.228675,6.223443968,97429150004,0.001541577,43.79228434,107.9876314,0.594469443,43.79228434,1,1062.1
Well_no_18,4.320683222,0.108869444,7439872.395,1.836836522,4165.936497,30.73684252,1657.604601,4.993957929,85589033536,0.00142493,49.12026156,88.26343639,0.443481202,49.12026156,0,597.31
Well_no_19,4.406918066,0.126173529,7317222.952,1.91431393,3912.610866,28.37973944,1672.392543,5.328446072,72893233527,0.001089328,49.93240591,67.94976905,0.265157092,49.93240591,0,817.74
Well_no_20,4.315871937,0.117690526,7364517.512,1.932967718,3915.081783,29.58556136,1700.476308,5.445688742,79059021311,0.001352251,51.3541477,70.09220637,0.267334411,51.3541477,0,346.96
Well_no_21,4.491542725,0.133772222,7213105.158,2.17598915,3438.315317,25.02891132,1700.918605,6.025972623,91947255370,0.000605945,61.45489127,108.2344355,0.432205739,61.45489127,1,751.92
Well_no_22,4.727106148,0.141344737,7180622.221,2.178834813,3422.512962,25.0025631,1661.284574,5.75073211,70469307758,0.001238257,57.33164958,151.3110474,0.621100702,57.33164958,1,1611.3
Well_no_23,4.587577726,0.1309775,7336265.943,1.971882104,3786.151557,28.74164427,1660.130344,5.691944322,1.09E+11,0.001424444,62.57103241,98.40887822,0.364172892,62.57103241,0,817.24
Well_no_24,4.437894763,0.124989333,7329083.994,2.279514325,3306.251975,23.76599734,1705.946479,6.458505862,73764648318,0.001458496,32.90142424,90.15132949,0.635042274,32.90142424,1,796.17
Well_no_25,4.149495914,0.117949412,7432311.057,1.857881738,4115.951968,31.35024996,1669.453645,5.322767402,71336460016,0.000924991,47.34083847,57.42176697,0.175559357,47.34083847,0,578.87
Well_no_26,4.554743478,0.136146429,7280404.897,2.088213944,3634.528717,26.77353409,1664.014873,5.774571561,83304154932,0.000920471,40.20894495,126.9986578,0.683390788,40.20894495,1,1324.9
Well_no_27,4.017711838,0.1084595,7463520.691,1.800996044,4064.298996,31.62611873,1696.730752,4.952944947,82137042016,0.001018671,44.56488422,53.6545555,0.169410988,44.56488422,0,424.22
Well_no_28,4.548892113,0.136592941,7243350.524,2.134278209,3451.274137,25.27913895,1634.635716,5.657619553,69000189688,0.000843768,54.7344422,136.0288976,0.597626363,54.7344422,1,1209.6
Well_no_29,4.407728029,0.1195325,7346147.373,1.856370607,4200.433168,29.67918142,1645.938771,5.39290495,1.08E+11,0.001372149,48.81222249,88.58846968,0.449000274,48.81222249,0,622.47
Well_no_30,4.777193978,0.138382941,7177768.228,2.172085291,3338.407075,24.18086843,1666.460564,6.076663782,1.16E+11,0.001888034,39.74829859,178.7299554,0.777606957,39.74829859,1,1194.2
Well_no_31,4.507760601,0.125886667,7330105.476,1.929337057,3931.660378,29.79785667,1730.082405,5.55122711,95214472891,0.001497762,51.48709271,80.64878801,0.361588761,51.48709271,0,1185.4
Well_no_32,4.437251813,0.115070526,7393110.632,2.110049737,3688.45388,27.50265975,1700.799808,6.059557363,89171725759,0.002117512,49.50197963,68.63989451,0.278816205,49.50197963,0,819.49
Well_no_33,4.569918526,0.130285625,7379184.973,1.895095598,3943.284754,29.30826126,1694.524616,5.41798587,1.03E+11,0.000800366,75.46075028,84.3739436,0.105639169,75.46075028,0,780.12
Well_no_34,4.097881676,0.120204444,7412126.308,2.16556833,3574.416549,25.46135048,1661.146369,6.006689132,72507220678,0.000989021,29.21990739,75.52435545,0.613106167,29.21990739,1,492.86
Well_no_35,4.463402922,0.126166471,7405884.717,1.929058827,3938.349213,29.44979854,1672.78501,5.729173469,1.09E+11,0.001520033,46.17442828,82.57761869,0.44083604,46.17442828,0,1122.1
Well_no_36,4.961567409,0.147116842,7180606.57,2.127619149,3407.398987,23.73954262,1684.572278,6.18543957,1.26E+11,0.00189765,52.01602152,223.0659873,0.7668133,52.01602152,1,2013.2
Well_no_37,4.275339221,0.131755,7354777.226,2.169092415,3311.31352,25.73720263,1655.711935,6.262806867,73125994026,0.000918105,45.65298755,92.48855623,0.506393121,45.65298755,1,539.98
Well_no_38,4.068960032,0.113711,7462188.835,1.87748967,4085.259821,30.76291895,1687.645885,5.185910291,61406196019,0.001033317,44.44420221,61.28040986,0.274740454,44.44420221,0,643.14
Well_no_39,4.559312839,0.130509444,7294302.34,2.279893699,3401.787187,25.31309412,1696.75696,5.968111397,1.21E+11,0.001939118,45.49629739,80.45661729,0.43452386,45.49629739,1,1801.8
Well_no_40,4.526282569,0.130562667,7360022.604,1.998302561,3717.559315,27.53788242,1714.460097,5.938782275,84427562407,0.001048202,47.23128654,96.57814095,0.510952623,47.23128654,0,1098.1
Well_no_41,4.442872426,0.133317059,7385811.678,2.243561874,3378.704269,25.24729774,1684.388451,6.193290157,79465603425,0.001206781,35.79388306,85.66351536,0.582157201,35.79388306,1,903.36
Well_no_42,4.47122188,0.1288845,7309230.045,1.92576404,3844.957,27.64646817,1683.904972,5.57570109,91364745850,0.001053667,51.29048323,90.56582459,0.433666248,51.29048323,0,905.74
Well_no_43,4.78932558,0.140066471,7186666.174,2.128922737,3567.878012,24.81661553,1659.395078,5.870993708,1.53E+11,0.001870354,53.04500039,146.3228243,0.637479657,53.04500039,1,1204.3
Well_no_44,4.677090857,0.141913889,7264136.464,2.115330838,3704.166606,25.9657407,1725.823466,6.15133955,75714314849,0.000965733,79.69572258,126.8357778,0.371662129,79.69572258,1,1666.8
Well_no_45,4.22089675,0.125011765,7367412.45,1.921475904,3924.949791,28.45181919,1660.842626,5.178828934,78590957294,0.000729089,51.65673839,74.57638847,0.307331188,51.65673839,0,618.01
Well_no_46,4.142533885,0.123204706,7395368.775,1.980566497,3951.689761,28.36875414,1704.327717,5.628188902,57903582561,0.000802574,44.89936292,60.64616009,0.259650358,44.89936292,0,470.12
Well_no_47,4.632425973,0.1281,7308173.579,2.103883502,3442.823091,26.50102865,1723.913571,6.117277164,1.26E+11,0.002063972,46.60349996,126.2895495,0.630978968,46.60349996,0,1136.3
Well_no_48,4.624500703,0.135776471,7223065.718,2.2274621,3226.050808,24.34679926,1682.018899,5.897356896,1.06E+11,0.001763693,41.56720625,145.7678006,0.714839587,41.56720625,1,1500
Well_no_49,4.109563579,0.103266316,7509252.39,1.866541571,4046.890999,30.82291688,1633.357847,5.345205504,94314631631,0.00099237,45.21677555,52.1167761,0.132395,45.21677555,0,307.12
