Well_ID,"Prediction, MSTB","R1, MSTB","R2, MSTB","R3, MSTB","R4, MSTB","R5, MSTB","R6, MSTB","R7, MSTB","R8, MSTB","R9, MSTB","R10, MSTB","R11, MSTB","R12, MSTB","R13, MSTB","R14, MSTB","R15, MSTB","R16, MSTB","R17, MSTB","R18, MSTB","R19, MSTB","R20, MSTB","R21, MSTB","R22, MSTB","R23, MSTB","R24, MSTB","R25, MSTB","R26, MSTB","R27, MSTB","R28, MSTB","R29, MSTB","R30, MSTB","R31, MSTB","R32, MSTB","R33, MSTB","R34, MSTB","R35, MSTB","R36, MSTB","R37, MSTB","R38, MSTB","R39, MSTB","R40, MSTB","R41, MSTB","R42, MSTB","R43, MSTB","R44, MSTB","R45, MSTB","R46, MSTB","R47, MSTB","R48, MSTB","R49, MSTB","R50, MSTB","R51, MSTB","R52, MSTB","R53, MSTB","R54, MSTB","R55, MSTB","R56, MSTB","R57, MSTB","R58, MSTB","R59, MSTB","R60, MSTB","R61, MSTB","R62, MSTB","R63, MSTB","R64, MSTB","R65, MSTB","R66, MSTB","R67, MSTB","R68, MSTB","R69, MSTB","R70, MSTB","R71, MSTB","R72, MSTB","R73, MSTB","R74, MSTB","R75, MSTB","R76, MSTB","R77, MSTB","R78, MSTB","R79, MSTB","R80, MSTB","R81, MSTB","R82, MSTB","R83, MSTB","R84, MSTB","R85, MSTB","R86, MSTB","R87, MSTB","R88, MSTB","R89, MSTB","R90, MSTB","R91, MSTB","R92, MSTB","R93, MSTB","R94, MSTB","R95, MSTB","R96, MSTB","R97, MSTB","R98, MSTB","R99, MSTB","R100, MSTB"
Well_no_74,965.582093,545.2943019,562.6686085,571.8297764,579.0389005,585.7410731,592.7092999,598.5135678,604.0340824,608.8282618,613.8811029,618.4597357,623.1864331,628.42755,633.6335283,638.1244316,644.6458588,650.6027934,655.5565186,660.3489973,666.0395191,671.6264229,677.534072,683.6736657,689.2385994,694.6043438,700.8694425,707.0794511,712.2903231,717.3587902,721.4323589,726.3372795,732.3675,738.8590363,746.1461203,752.0084309,758.3832562,762.5604661,767.2932061,768.4672458,772.8056864,774.7918661,777.7226763,779.6306461,779.6306461,779.6306461,779.6306461,780.8802461,781.8790661,784.9988998,789.1949636,791.7824099,794.9249488,798.1911029,800.4106461,804.846625,809.5180052,819.1153766,834.5292645,849.4342122,860.7806374,871.9414748,885.2537481,905.4050489,931.9313679,971.3502988,1006.54728,1047.629074,1080.695956,1114.888864,1142.341662,1167.024146,1189.550134,1212.456543,1234.124448,1253.922475,1272.68799,1290.35031,1306.902068,1323.016941,1339.520685,1357.692613,1376.328714,1402.121686,1433.972134,1462.93459,1485.798634,1518.447244,1547.520708,1576.202451,1592.068754,1596.18436,1610.382073,1636.682234,1654.516799,1682.680099,1715.34313,1749.18862,1821.3435,1847.808734,1920.0173
Well_no_75,1014.695448,497.8896592,498.4288592,500.4423974,500.8403592,503.5918792,511.8688182,518.2930173,525.2256879,529.1984357,534.3106069,535.9575092,539.2901751,542.5588913,545.6634163,550.0649921,554.6916592,560.12217,565.5272667,570.3089966,575.0018261,579.3644857,583.7697881,588.9025315,594.434674,599.1334973,605.2394712,608.8718592,610.0051221,614.445116,619.95947,625.8146076,632.1841298,638.0109226,644.9699176,650.2080052,657.2203088,666.990122,675.4955382,683.9809504,695.1547058,705.9830457,718.8717594,733.6668021,747.7010987,760.427082,775.444256,790.8807777,808.526898,833.8278193,868.5627742,904.2923701,934.340456,964.0787708,987.0735313,1001.839268,1014.820658,1026.903459,1038.935803,1051.104922,1064.849694,1083.377335,1100.826027,1118.207429,1134.627996,1155.759843,1174.941891,1196.886917,1217.217787,1237.767839,1259.406696,1280.331448,1303.004459,1328.039867,1353.771602,1379.895485,1405.365369,1434.568682,1459.385897,1486.114237,1510.172979,1538.958274,1565.521918,1594.289103,1620.454565,1639.434622,1665.810431,1689.334466,1707.155601,1728.577288,1761.488376,1789.449065,1824.808726,1852.462417,1872.6152,1881.584235,1909.4742,1942.177783,1956.0663,1984.500167,2256.96
Well_no_76,1274.351043,510.87084,534.2320164,542.0549996,546.0222479,551.1152485,556.3687078,563.0418281,567.5505538,571.0457106,573.9264775,577.5003927,580.4714348,583.9961569,588.0954915,592.8601912,597.8288108,602.4927144,608.3865526,613.309764,618.8126706,625.7503473,632.4440894,640.5650158,650.0792601,656.7042836,668.2333066,678.4885991,689.8909045,704.8329663,720.7204764,739.2549811,758.6982769,782.1042374,805.7010084,838.1286828,892.299032,961.948703,998.2894435,1023.599236,1048.534851,1069.362209,1085.202938,1103.003306,1117.852923,1133.911449,1151.749037,1171.95608,1194.719439,1218.51903,1245.981466,1270.57458,1293.569413,1321.234862,1351.315068,1379.849184,1410.426635,1440.22462,1464.013264,1489.645503,1517.050576,1545.71696,1572.645231,1595.411286,1617.043051,1638.290054,1660.330625,1684.437283,1702.180767,1717.911779,1736.681289,1757.157311,1775.315515,1794.1733,1814.557202,1831.408286,1849.135322,1863.112425,1876.735325,1885.6186,1893.499893,1905.189223,1928.980971,1949.339804,1954.8602,1960.2044,1962.59905,1968.2484,1972.46705,1978.047756,1987.42768,2013.33595,2055.561589,2092.776491,2117.682549,2136.915087,2163.90432,2206.217,2227.06214,2237.38448,2268.67
Well_no_77,1438.30605,606.4865704,639.403546,656.3943133,669.3647961,682.8297613,695.6455069,709.9353137,723.0805763,736.4293763,748.0857742,757.0684468,766.7254142,773.6213193,779.2975809,782.8205693,789.2665212,793.6537391,798.0058371,802.1301662,804.1862237,807.1775237,815.7014626,822.6068545,834.5670294,852.9783883,868.9054883,877.0738874,891.3776645,915.4807843,953.4912883,995.3743016,1057.753869,1098.494241,1129.590152,1157.459723,1191.693428,1222.939501,1256.373259,1285.902526,1312.842034,1343.806979,1370.58588,1395.099984,1420.032234,1446.444939,1477.054785,1501.414677,1525.788639,1545.529051,1561.006131,1576.059487,1594.656042,1618.99532,1639.419004,1656.799509,1673.735365,1682.497265,1689.214863,1695.448446,1695.926746,1699.379597,1704.827162,1707.012246,1715.231746,1724.805031,1735.631249,1749.711311,1762.119628,1773.41046,1784.82959,1800.183346,1819.549393,1834.363372,1851.456588,1871.435775,1895.891277,1914.9874,1933.864037,1947.818433,1954.11267,1966.19117,1980.427171,2003.167564,2026.851545,2050.742572,2074.917188,2097.97739,2104.6692,2107.485403,2110.1742,2117.44475,2125.34195,2138.269383,2153.921252,2170.322,2191.187,2204.24664,2217.917,2232.727,2288.177
Well_no_78,1276.011458,497.8903592,501.4972712,522.9422086,532.4733206,536.395376,540.522797,541.6630913,543.615758,544.6080845,546.1616865,550.0855754,556.5394098,562.3227141,567.9821241,574.4175071,579.8136323,587.1456754,593.7914434,600.672026,606.8316193,613.7151311,623.340229,634.4553114,644.8364125,652.7986042,667.1324398,683.0945057,702.7873907,716.6002415,738.5676188,764.3571911,794.904966,840.2179551,917.1438143,971.931903,1003.656903,1023.205106,1035.40914,1045.886926,1056.123928,1067.462461,1083.241697,1098.997054,1115.571336,1134.201713,1158.453266,1182.676881,1208.11998,1230.222583,1255.644566,1278.984696,1300.905595,1326.4541,1352.717134,1381.675366,1404.987439,1430.083968,1456.156649,1477.38835,1500.443421,1526.911407,1548.172754,1574.928345,1597.628635,1619.036676,1644.91354,1667.679525,1686.186664,1699.458346,1710.486588,1723.26975,1741.508551,1761.723979,1782.461785,1799.398437,1818.404103,1839.835277,1857.038471,1873.584025,1888.68237,1907.365764,1935.95526,1947.746,1953.056457,1957.9717,1964.10725,1970.619909,1978.747104,2000.975408,2038.576128,2084.976396,2112.098858,2130.71709,2140.88965,2182.55215,2214.14708,2217.917,2226.317,2239.863,2270.356
Well_no_79,1398.979627,541.6190913,544.6084942,553.5215609,565.1618944,574.3321591,582.1127699,591.7392916,600.6767713,610.3267823,618.6612276,628.1215013,638.4039332,647.919574,660.1779757,672.3082215,686.1591047,701.1377965,716.5741418,735.9825564,754.9852475,777.0658823,795.9648081,823.5870912,857.7562593,908.9482521,960.1306783,998.835123,1026.508372,1042.53634,1059.962417,1076.867977,1094.873078,1111.091611,1129.161169,1145.731718,1162.759445,1180.785037,1198.217093,1214.150511,1233.367186,1251.229261,1273.658768,1290.806786,1308.795479,1330.268439,1357.636285,1386.283487,1412.587043,1439.478714,1461.762571,1481.259288,1502.080824,1521.709601,1540.665516,1565.93268,1585.508645,1603.528217,1617.336949,1635.390858,1651.6164,1668.835429,1685.680262,1697.40335,1707.703001,1718.788723,1731.776865,1748.19163,1762.742072,1778.8884,1798.509142,1819.833005,1840.934071,1855.340876,1869.723813,1881.481125,1896.88074,1917.3221,1933.403835,1946.250366,1949.689687,1956.27915,1959.219237,1966.42415,1974.211664,1987.16585,2006.48191,2028.41835,2059.030744,2081.633799,2097.793195,2111.7931,2114.274718,2127.995017,2138.49765,2160.71111,2202.99336,2222.265,2223.615,2233.363,2281.39
Well_no_80,1169.219482,583.1896331,598.5163646,608.3562092,620.4888822,632.0394693,647.0850562,659.6813056,671.0488294,681.8304436,691.7162097,702.8476786,711.4089594,717.9030189,727.339049,736.6931383,744.864726,752.7121675,760.4039122,765.5399775,769.5784078,773.0856455,775.853222,777.0067342,777.0067342,778.7240163,781.6933628,785.5675342,787.5731871,789.1648731,791.786727,793.8675471,795.9770131,797.0315304,798.9930004,801.1105104,801.8703104,802.2227131,803.6849334,807.6466994,811.8298545,815.4442209,819.6001893,828.2791563,839.8290218,855.0720417,866.6146417,866.6146417,878.0858502,888.117327,909.8300234,955.0766011,1028.39514,1082.93895,1122.252778,1156.348954,1188.653882,1228.231536,1259.391026,1283.818038,1308.319907,1330.925099,1358.288152,1387.63724,1420.826408,1458.74354,1491.977218,1525.896024,1549.736501,1574.814686,1590.246487,1597.820057,1610.360104,1619.520104,1635.20535,1640.755865,1644.206665,1646.37422,1651.016051,1657.118865,1664.046893,1667.211575,1675.848279,1681.585428,1695.411347,1711.986115,1730.671878,1751.087225,1771.664913,1791.734245,1812.722109,1828.883156,1856.526226,1876.274401,1891.520104,1914.01477,1932.752714,1967.773367,2050.658452,2080.167697,2219.702
Well_no_81,1052.278973,494.7506933,500.915158,508.2042614,515.9053912,522.31296,527.198124,531.258201,535.1155716,538.510122,541.8177475,545.512411,549.1584631,552.1698382,555.6389832,558.5446693,562.1941171,565.5968478,568.5393462,571.4352937,574.9468201,578.0252758,581.6001819,585.0821579,588.9375099,593.036165,596.6732566,601.2218725,606.5953843,612.0251165,617.9412105,623.8058967,630.0253923,636.6951165,643.8889273,652.494077,660.9001134,671.9473323,683.6142655,697.8717053,713.4990519,733.0121668,753.0590164,776.2575658,812.5316326,881.423289,923.6400538,954.1046172,972.2576555,986.1576442,999.8533374,1011.382704,1020.411386,1030.624319,1041.544234,1052.12335,1063.016182,1076.066719,1091.009319,1104.009206,1117.775403,1130.520862,1148.363401,1165.748679,1183.46849,1201.997067,1227.983603,1249.411879,1274.490092,1298.322494,1325.865532,1350.302328,1372.544275,1391.380045,1412.70543,1435.736695,1462.635208,1489.863014,1515.50933,1542.730756,1567.557334,1592.289872,1624.397311,1650.300421,1675.139265,1688.919863,1707.022373,1726.612798,1743.517423,1765.502327,1789.916364,1814.769174,1833.86422,1854.928248,1881.414875,1913.725835,1942.69252,1964.2109,2058.5313,2117.0389,2261.432
Well_no_82,1215.708557,629.7100659,648.80179,670.1985829,690.4841525,705.2041261,714.1888309,721.5788489,725.7057391,730.0259707,733.8623794,738.6971843,743.7945288,749.4290109,754.6324199,760.6524152,766.0653963,773.5920371,779.7882753,786.5331628,790.1076904,793.5030904,795.6542237,796.5691338,799.7927823,802.8487958,806.9059626,809.7853626,812.5125204,814.9172189,816.0473626,819.1695227,822.9748026,825.8542026,828.0848727,833.0675568,841.8955504,852.6710546,859.6188026,864.1854883,865.7322883,870.3336312,874.7889026,878.8897312,880.3789645,881.7691312,881.8762312,885.2343912,890.3490831,904.9244878,927.3161665,957.8067271,991.3586216,1054.819523,1139.21083,1186.854493,1229.801189,1260.115987,1291.186808,1311.373449,1328.30306,1359.042663,1387.370304,1412.277688,1442.95514,1474.391413,1504.279151,1531.54194,1558.243924,1580.861264,1601.251229,1622.847527,1645.731415,1668.165274,1687.264872,1699.441145,1706.910253,1712.539939,1718.906486,1728.896167,1740.351521,1753.401637,1767.297134,1781.034151,1791.984495,1808.318455,1828.390893,1847.097328,1864.525722,1883.947292,1914.887783,1941.452052,1961.748354,1979.526683,2010.784219,2069.44758,2104.6692,2110.1742,2119.349449,2140.3099,2252.075
Well_no_83,1003.905853,533.116572,542.8114913,546.341518,551.8842113,561.4739399,570.8245413,577.9286413,581.1990613,586.9753182,594.8719277,601.366651,607.9712746,611.1647587,615.7026911,621.6313547,627.286301,633.2224651,638.2181879,643.2034514,647.6469246,648.3259246,649.7749446,651.8046446,654.4528446,658.7713074,663.4802356,668.2003406,672.5633272,676.9103292,681.1223948,684.9218676,690.5629257,695.4557234,701.5245517,706.6893581,712.9813728,719.0007301,725.0511992,732.9843965,737.6658461,746.0211313,754.6592183,766.7451917,776.9107575,786.2345327,796.648335,808.0758298,821.5924484,834.0336143,848.0618002,861.5092211,875.7757774,890.7396312,912.2279437,937.7464552,971.3158827,1000.464864,1020.403717,1037.372378,1047.94637,1057.249286,1065.314628,1075.472406,1089.64604,1107.873627,1126.845463,1141.578551,1156.574632,1179.405966,1199.779407,1215.384737,1230.357239,1245.986587,1263.169012,1285.410259,1306.732808,1329.275788,1351.435185,1374.170857,1401.637761,1429.350866,1460.229112,1498.706141,1534.805361,1564.667583,1594.542783,1621.575102,1637.991599,1655.274249,1675.742443,1692.912687,1706.322602,1719.423414,1738.297766,1779.694281,1830.379689,1867.561905,1890.405581,1937.164492,2139.339667
